epoch,step,test_loss,train_loss,validation_loss
0,49,,5.128104209899902,
0,66,,,5.099116325378418
1,99,,4.8597822189331055,
1,133,,,5.083865642547607
2,149,,3.731898546218872,
2,199,,4.303815841674805,
2,200,,,5.073848247528076
3,201,5.006863594055176,,
3,201,5.073848247528076,,
3,201,4.946727275848389,,
