epoch,step,test_loss,train_loss,validation_loss
0,49,,6.179071426391602,
0,66,,,5.158984661102295
1,99,,4.655982971191406,
1,133,,,5.149991035461426
2,149,,5.177383899688721,
2,199,,5.030128479003906,
2,200,,,5.143962383270264
3,201,5.019320964813232,,
3,201,5.143962383270264,,
3,201,4.970709800720215,,
