epoch,step,test_loss,train_loss,validation_loss
0,49,,4.285268306732178,
0,66,,,5.060261249542236
1,99,,4.366458415985107,
1,133,,,5.043241024017334
2,149,,4.09921407699585,
2,199,,4.282043933868408,
2,200,,,5.019068241119385
3,201,4.9590983390808105,,
3,201,5.019068241119385,,
3,201,4.905083179473877,,
