epoch,step,train_loss,validation_loss
0,49,5.545145511627197,
0,66,,4.917343616485596
1,99,4.236515522003174,
1,133,,4.894585132598877
2,149,5.355973720550537,
2,199,4.6777496337890625,
2,200,,4.868348598480225
